name,targetVersion,minorLine,frameworkDep,publishedAt,alreadyBundled
@activepieces/piece-chartly,0.0.6,0.0,0.30.0,2026-06-11T05:40:25.985Z,false
@activepieces/piece-chat-aid,0.0.2,0.0,0.20.2,2025-11-13T14:43:54.655Z,false
@activepieces/piece-chat-aid,0.1.5,0.1,0.30.0,2026-06-11T05:40:15.798Z,false
@activepieces/piece-chat-data,0.0.2,0.0,0.20.1,2025-10-08T21:20:58.351Z,false
@activepieces/piece-chat-data,0.1.4,0.1,0.30.0,2026-06-11T05:40:56.873Z,false
@activepieces/piece-chatbase,0.0.7,0.0,0.20.1,2025-09-08T18:42:33.344Z,false
@activepieces/piece-chatbase,0.1.5,0.1,0.30.0,2026-06-11T05:40:20.882Z,false
@activepieces/piece-chatfly,0.0.1,0.0,0.22.2,2025-12-16T13:32:25.136Z,false
@activepieces/piece-chatfly,0.1.5,0.1,0.30.0,2026-06-11T05:39:55.368Z,false
@activepieces/piece-chatling,0.0.1,0.0,0.22.2,2025-12-09T12:09:25.214Z,false
@activepieces/piece-chatling,0.1.5,0.1,0.30.0,2026-06-11T13:22:39.056Z,false
@activepieces/piece-chatnode,0.0.1,0.0,0.20.2,2025-11-25T10:29:19.750Z,false
@activepieces/piece-chatnode,0.1.5,0.1,0.30.0,2026-06-11T13:22:02.841Z,false
@activepieces/piece-chatsistant,0.0.1,0.0,0.20.2,2025-11-18T15:40:32.659Z,false
@activepieces/piece-chatsistant,0.1.5,0.1,0.30.0,2026-06-11T13:22:33.722Z,false
@activepieces/piece-chatwoot,0.0.3,0.0,0.30.0,2026-06-11T13:21:35.657Z,false
@activepieces/piece-checkout,0.0.6,0.0,0.20.1,2025-09-08T18:42:33.681Z,false
@activepieces/piece-checkout,0.1.4,0.1,0.30.0,2026-06-11T13:22:28.716Z,false
@activepieces/piece-chess-com,0.0.3,0.0,0.30.0,2026-06-11T13:21:20.070Z,false
@activepieces/piece-circle,0.0.6,0.0,0.20.1,2025-09-08T18:42:33.478Z,false
@activepieces/piece-circle,0.1.5,0.1,0.30.0,2026-06-11T13:21:14.487Z,false
@activepieces/piece-clarifai,0.1.2,0.1,0.6.9,2023-08-16T15:17:10.394Z,false
@activepieces/piece-clarifai,0.2.13,0.2,0.20.1,2025-10-31T23:13:48.571Z,false
@activepieces/piece-clarifai,0.3.5,0.3,0.30.0,2026-06-11T05:22:24.403Z,false
@activepieces/piece-claude,0.0.5,0.0,0.7.39,2024-11-12T16:14:33.944Z,false
@activepieces/piece-claude,0.1.17,0.1,0.22.2,2025-12-08T10:05:44.264Z,false
@activepieces/piece-claude,0.2.1,0.2,0.14.0,2025-06-11T13:56:48.034Z,false
@activepieces/piece-claude,0.3.0,0.3,0.22.2,2025-12-08T12:04:47.942Z,false
@activepieces/piece-claude,0.4.8,0.4,0.30.0,2026-06-12T15:12:14.846Z,false
@activepieces/piece-clearout,0.0.10,0.0,0.20.1,2025-09-08T18:42:33.018Z,false
@activepieces/piece-clearout,0.1.5,0.1,0.30.0,2026-06-11T13:22:55.340Z,false
@activepieces/piece-clearoutphone,0.0.1,0.0,0.22.2,2025-12-22T11:55:04.716Z,false
@activepieces/piece-clearoutphone,0.1.5,0.1,0.30.0,2026-06-11T13:23:10.746Z,false
@activepieces/piece-clicdata,0.0.6,0.0,0.30.0,2026-06-11T13:23:15.684Z,false
@activepieces/piece-clickfunnels,0.0.3,0.0,0.20.1,2025-09-08T18:42:33.487Z,false
@activepieces/piece-clickfunnels,0.1.5,0.1,0.30.0,2026-06-11T13:23:30.952Z,false
@activepieces/piece-clicksend,0.0.7,0.0,0.20.1,2025-09-08T18:42:33.792Z,false
@activepieces/piece-clicksend,0.1.5,0.1,0.30.0,2026-06-09T07:45:41.892Z,false
@activepieces/piece-clickup,0.0.1,0.0,,2023-03-07T18:33:46.039Z,false
@activepieces/piece-clickup,0.1.3,0.1,,2023-03-16T01:34:46.616Z,false
@activepieces/piece-clickup,0.2.2,0.2,0.3.27,2023-06-10T21:33:19.770Z,false
